steam_id,comp_main,comp_plus,comp_100
72850,124968,395364,854276
403640,45196,81926,166418
383870,14638,16833,18603
242050,84424,147844,222666
1030840,38218,47334,88801
686060,221313,378900,612558
1088850,63342,73386,93463
33230,69159,94084,127692
4000,184690,976786,1994343
552500,39201,103603,462838
414340,27110,29507,33213
268500,119690,172427,317583
548430,160479,491338,1777004
1771300,196564,350489,508335
2909400,174072,329179,593350
287700,164101,293090,588653
322330,124160,390239,769350
219150,18864,26347,55469
261640,65277,105660,217859
460790,41618,55768,150392
1583230,33155,46055,77625
1588550,40125,53872,73826
1547000,108764,162169,256304
367500,117605,190485,407337
500,25071,68021,205308
582660,345017,1034309,7417632
1446780,83953,296456,655503
360,9000,9081,12001
222480,30161,45666,134693
1235140,164971,244195,370324
480490,58865,100602,168581
373420,217187,299331,390268
304430,12805,14568,16885
262060,204144,306512,461884
2358720,137085,174108,243517
812140,164257,307310,523437
960910,35908,43335,79962
2019810,13060,13572,14384
3830,43229,54964,77818
1265920,50926,59176,66682
17410,21978,29219,45022
346110,236852,985025,3511141
252950,16612,95407,378318
204360,25829,46997,132757
287290,36800,57098,121070
227300,165102,415367,1615374
339340,36918,48338,90257
960990,38302,44599,101201
945360,31804,58095,100766
225540,65801,137213,229514
1627720,102009,130097,210553
335300,128004,219818,369638
612880,38725,61511,120919
57300,28607,32696,41953
107100,22462,33323,73768
1808500,140537,299568,641400
207610,44869,50233,52397
2138710,28106,50572,80098
15100,53632,72001,109963
731490,53895,86835,169065
920210,67057,125242,324113
323190,38357,89981,201294
55230,55444,98888,164119
289650,61922,126872,288680
1092790,45811,56031,111035
1222700,21714,23917,26377
2531310,82735,102464,154865
1693980,43616,57928,106526
972660,91525,118615,152828
2499860,132701,186985,264122
12240,61925,86223,136899
48190,55024,92029,149424
2062430,67862,86202,127129
22370,94842,208711,382794
8980,79905,125965,227217
250900,20301,354379,1365968
1057090,43139,56326,65811
553850,117002,234039,316120
239030,18047,29411,58535
40800,33348,66447,164707
2001120,48707,52479,58162
552520,65693,111413,171696
3489700,81359,135140,206044
1030830,40501,56532,125324
213670,40935,53024,76313
214490,65893,81122,122702
860510,20365,23890,31358
238320,18504,26080,41131
1809540,76131,96909,115792
298110,64240,112515,168795
32370,104628,131497,174039
2246340,64950,157523,403394
1604030,167842,230358,302394
350080,21319,30444,56710
892970,294046,376047,527791
38400,58353,82202,115663
433340,52602,82387,137848
203140,44385,71259,133060
1681430,42993,55212,60903
927380,66621,130977,287874
1623730,149968,275010,335852
2131630,40458,47010,63340
50,18812,22659,25703
1546970,50893,73352,131329
8190,63601,124306,308971
613830,83086,95670,152720
834530,64528,119344,302265
337000,57690,111519,190362
43129,34265,43397,73791
587620,119043,145957,190745
110800,79612,104452,151487
606150,50608,74192,106914
212680,43659,114014,406297
